elevation,timestamp,ActivityName,ActivityType,rec_id,year,trajID,distance,time_diff,speed,speed_kmh,acceleration,avg_speed_10s,avg_speed_60s,max_speed_10s,avg_acc_10s,avg_acc_60s,max_acc_10s,el_change,d_direct10,d_sinu10,sinuosity,kmeans4,kmeans5,geometry,c_ward_4,c_single_4,c_compl_4,x,y
405.4,2024-05-20T13:24:56Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,0,0.31505562246637825,9.167973485118898,2.2499130207524263,0.0015101135095870139,-0.02939905087065284,0.6249758390978962,0,0.6907429272231834,0.8871661128294845,1.2843651058374652,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
405.4,2024-05-20T13:24:57Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,0,0.3517164478730538,9.06234128670145,2.2499130207524263,0.010183562612965425,-0.018316438423257756,0.6249758390978962,0,0.5037607335354104,0.9635065514010596,1.9126273392511897,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
405.4,2024-05-20T13:24:58Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,0,0.3153294168221649,8.943585404973193,2.2499130207524263,-0.010107508625246899,-0.02196190600959345,0.6249758390978962,0,0.31741731343933843,0.9635065514010596,3.0354568279880394,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
405.4,2024-05-20T13:24:59Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,0,0.3979092435683018,8.861090821786497,2.2499130207524263,0.02293884076281581,-0.011889323081382472,0.6249758390978962,0,0.31741731343933843,1.2158337997920334,3.830395344910482,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
405.4,2024-05-20T13:25:00Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.6249758390978962,1,0.6249758390978962,2.2499130207524263,0.6249758390978962,0.4418935294983157,8.81842251366471,2.2499130207524263,0.012217857202781623,-8.264688966851081e-4,0.6249758390978962,0,0.46646699634155636,1.3502302290226313,2.8945889840274273,3,2,"c(2681073.65448328, 1249333.86366738)",2,1,1,2681073.6544832834,1249333.863667378
405.4,2024-05-20T13:25:01Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.15100767885387242,1,0.15100767885387242,0.5436276438739407,-0.4739681602440238,0.4666038783953002,8.873361071625164,2.2499130207524263,0.006863985804717932,0.026286549459492558,0.6249758390978962,0,0.5285269038414275,1.4257340728745285,2.697561964229332,3,2,"c(2681074.17839666, 1249334.20441592)",2,1,1,2681074.1783966627,1249334.2044159223
405.4,2024-05-20T13:25:02Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.18752303344929092,1,0.18752303344929092,0.6750829204174473,0.03651535459541849,0.5105881635257379,8.85429237966012,2.2499130207524263,0.012217856980677117,0.005728980035743327,0.6249758390978962,0,0.45302305998953035,1.5601304996619767,3.4438213800816944,3,2,"c(2681074.02740312, 1249334.20234963)",2,1,1,2681074.0274031213,1249334.2023496348
405.4,2024-05-20T13:25:03Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,-0.18752303344929092,0.5352985127274903,8.824844206102727,2.2499130207524263,0.006863985889375693,0.0028457907045351494,0.6249758390978962,0,0.5400946793391184,1.6356343444451094,3.0284215101813956,3,2,"c(2681073.87793092, 1249334.08911117)",2,1,1,2681073.877930923,1249334.0891111698
405.4,2024-05-20T13:25:04Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.25232724839097387,1,0.25232724839097387,0.9083780942075059,0.25232724839097387,0.5352985127274903,8.817199846956399,2.2499130207524263,2.520770051028798e-18,0.008902405818719818,0.6249758390978962,0,0.6141780848233588,1.6356343444451094,2.6631271692403797,3,2,"c(2681073.87793092, 1249334.08911117)",2,1,1,2681073.877930923,1249334.0891111698
405.4,2024-05-20T13:25:05Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.13439642923059783,1,0.13439642923059783,0.4838271452301522,-0.11793081916037604,0.5352985127274903,8.831146562433851,2.2499130207524263,2.5230101381620324e-18,0.014899926547547961,0.6249758390978962,0,0.4510941622404734,1.010658505347213,2.2404601742738626,3,2,"c(2681074.10594258, 1249333.98103841)",2,1,1,2681074.1059425846,1249333.9810384053
405.4,2024-05-20T13:25:06Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.07550384385189722,1,0.07550384385189722,0.27181383786683,-0.05889258537870061,0.45350332299351903,8.81320795886419,1.3501659336787422,-0.022720886037214245,0.006042893478905162,0.3750460926885395,0,0.4990917581860067,1.2346969191818802,2.473887614713366,3,2,"c(2681074.18296071, 1249333.87089936)",2,1,1,2681074.1829607063,1249333.8708993609
405.4,2024-05-20T13:25:07Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.13439642678744826,1,0.13439642678744826,0.48382713643481373,0.05889258293555104,0.44046965952870143,8.774639091701284,1.3501659336787422,-0.0036204620735604443,3.122647030037599e-4,0.3750460926885395,0,0.8779558710396894,1.1583564817772969,1.3193789346217966,3,2,"c(2681074.10746393, 1249333.86986622)",2,1,1,2681074.107463931,1249333.869866217
405.4,2024-05-20T13:25:08Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.0755038447831326,1,0.0755038447831326,0.2718138412192774,-0.05889258200431566,0.42308277158485846,8.760132133525905,1.3501659336787422,-0.004829691095511928,0.00699612831065029,0.3750460926885395,0,0.8121282999138469,1.2927529131759565,1.5918087244504295,3,2,"c(2681074.18448205, 1249333.75972718)",2,1,1,2681074.1844820543,1249333.7597271765
405.4,2024-05-20T13:25:09Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,-0.0755038447831326,0.5056626035044156,8.75470472054676,1.3501659336787422,0.022938842199876984,0.009518224198493281,0.3750460926885395,0,0.6907429435307681,1.2927529289836295,1.87153982692267,3,2,"c(2681074.25997883, 1249333.76076032)",2,1,1,2681074.2599788303,1249333.7607603204
405.4,2024-05-20T13:25:10Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0,1,0,0,0,0.4670670630616204,8.348811662300792,1.3501659336787422,-0.010720983456332005,-0.10172223282006929,0.3750460926885395,0,0.3174173160827444,1.2927529301243534,4.072723397948958,3,2,"c(2681074.25997883, 1249333.76076032)",2,1,1,2681074.2599788303,1249333.7607603204
405.4,2024-05-20T13:25:11Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.3750460926885395,1,0.3750460926885395,1.3501659336787422,0.3750460926885395,0.4972138247306081,8.322671479129239,1.3501659336787422,0.008374100463607691,0.003764676922824238,0.3750460926885395,0,0.25232725399024825,1.4437606206027387,5.7217783563662765,3,2,"c(2681074.25997883, 1249333.76076032)",2,1,1,2681074.2599788303,1249333.7607603204
405.4,2024-05-20T13:25:12Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,0.11118259604470752,1,0.11118259604470752,0.40025734576094707,-0.26386349664383196,0.5338746525446293,8.318979604739459,1.3501659336787422,0.01018356328167254,0.010000318251094271,0.3750460926885395,0,0.07550384519140425,1.4968872337655854,19.825311280120058,3,4,"c(2681074.56500864, 1249333.54254853)",4,1,1,2681074.565008644,1249333.5425485324
